,Date,Year,Country,Sex,Injury,Fatal,ACTIVITY,AGE
0,25-Jun-2018,2018,USA,F,"No injury to occupant, outrigger canoe and paddle damaged",N,paddling,57
1,18-Jun-2018,2018,USA,F,Minor injury to left thigh,N,standing,11
2,09-Jun-2018,2018,USA,M,Injury to left lower leg from surfboard skeg,N,surfing,48
3,08-Jun-2018,2018,AUSTRALIA,M,Minor injury to lower leg,N,surfing,0
4,04-Jun-2018,2018,MEXICO,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,diving,0
5,03-Jun-2018,2018,AUSTRALIA,M,"No injury, board bitten",N,surfing,0
6,03-Jun-2018,2018,BRAZIL,M,FATAL,Y,swimming,18
7,27-May-2018,2018,USA,M,Minor injury to foot. PROVOKED INCIDENT,N,fishing,52
8,26-May-2018,2018,USA,M,Lower left leg bitten,N,walking,15
9,26-May-2018,2018,USA,M,Minor injury to foot,N,standing,12
10,24-May-2018,2018,AUSTRALIA,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,feeding,32
11,21-May-2018,2018,USA,M,Injuries to lower right leg and foot,N,boarding,10
12,13-May-2018,2018,USA,M,Severe bite to right forearm,N,swimming,10
13,13-May-2018,2018,ENGLAND,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,fishing,21
14,May 2018,2018,AUSTRALIA,F,Shallow lacerations to finger PROVOKED INCIDENT,N,feeding,34
15,12-May-2018,2018,SOUTH AFRICA,M,"Minor injury, marks on board",N,surfing,0
16,09-May-2018,2018,AUSTRALIA,M,"No injury, surfboard damaged",N,surfing,0
17,Reported 30-Apr-2018,2018,THAILAND,M,Minor injury to ankle,N,swimming,0
18,28-Apr-2018,2018,COSTA RICA,M,"No injury, shark bit scuba gear",N,diving,30
19,28-Apr-2018,2018,AUSTRALIA,M,"No injury, knocked off board by shark",N,surfing,0
20,25-Apr-2018,2018,AUSTRALIA,M,No injury,N,surfing,0
21,25-Apr-2018,2018,AUSTRALIA,M,"No injury, knocked off board by shark",N,surfing,60
22,24-Apr-2018,2018,AUSTRALIA,M,"No injury, shark struck his leg",N,surfing,0
23,23-Apr-2018,2018,MALDIVES,M,5-inch cut to hand,N,fishing,32
24,22-Apr-2018,2018,SOUTH AFRICA,M,"No injury, shark bit hole in ski",N,skiing,33
25,19-Apr-2018,2018,USA,M,Lacerations to right lower leg,N,boarding,29
26,15-Apr-2018,2018,THAILAND,M,Lacerations to foot and ankle,N,swimming,54
27,15-Apr-2018,2018,BRAZIL,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",0,swimming,34
28,15-Apr-2018,2018,AUSTRALIA,M,Laceration to right thigh,N,surfing,41
29,15-Apr-2018,2018,AUSTRALIA,M,Lacerations to legs,N,surfing,37
30,14-Apr-2018,2018,BAHAMAS,M,No Injury. Shark swam away with the surf board,N,surfing,0
31,Reported 10-Apr-2018,2018,BRAZIL,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,fishing,56
32,09-Apr-2018,2018,NEW CALEDONIA,0,"No injury, shark bit board",N,windsurfing,0
33,05-Apr-2018,2018,BAHAMAS,M,"2 puncture wounds to left foot, abrasion to right foot",N,swimming,12
34,03-Apr-2018,2018,SOUTH AFRICA,M,Lacerations to left knee & lower leg,N,surfing,19
35,31-Mar-2018,2018,USA,M,Injuries to right leg & hand,N,paddleboarding,25
36,14-Mar-2018,2018,AUSTRALIA,M,Minor injuries to legs,N,wading,10
37,9-Mar-2018,2018,AUSTRALIA,M,"No injury, said to have been charged by sharks several times",N,swimming,69
38,9-Mar-2018,2018,AUSTRALIA,M,"Minor injury, ankle grazed",N,surfing,18
39,24-Feb-2018,2018,SOUTH AFRICA,M, The shark & man simply collided; neither were injured,N,diving,38
40,23-Feb-2018,2018,AUSTRALIA,F,Laceratons to right leg & foot,N,swimming,55
41,18-Feb-2018,2018,AUSTRALIA,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,fishing,34
42,15-Feb-2018,2018,AUSTRALIA,M,Puncture wounds to leff foot & lower leg,N,walking,35
43,14-Feb-2018,2018,AUSTRALIA,F,"Collision / No injury, no attack",N,swimming,0
44,11-Feb-2018,2018,BRAZIL,F,Lacerations to 4 toes of right foot,N,cleaning,46
45,03-Feb-2018,2018,ECUADOR,M,Injuries to right foot,N,snorkeling,45
46,01-Feb-2018,2018,AUSTRALIA,M,"No injury no attack. This is considerd an ""encounter""",N,spearfishing,14
47,28-Jan-2018,2018,AUSTRALIA,M,Injuries to right leg,N,0,18
48,21-Jan-2018,2018,NEW CALEDONIA,M,Injuries to abdomen and arm,N,spearfishing,40
49,14-Jan-2018,2018,AUSTRALIA,M,Severe laceration to left forearm,N,diving,0
50,13-Jan-2018,2018,AUSTRALIA,M,"No injury, shark took his swimfin",N,diving,28
51,12-Jan-2018,2018,BRAZIL,M,Minor injury to left forearm,N,surfing,20
52,05-Jan-2018,2018,AUSTRALIA,M,Foot bitten,N,surfing,0
53,31-Dec-2017,2017,USA,F,Severe lacerations to left thigh & knee,N,surfing,54
54,30-Dec-2017,2017,USA,F,Foot bitten,N,surfing,35
55,21-Dec-2017,2017,MALAYSIA,M,"Minor injury to thigh, PROVOKED INCIDENT",N,fishing,24
56,09-Dec-2017,2017,BAHAMAS,F,Minor injury to arm,N,snorkeling,25
57,30-Nov-2017,2017,COSTA RICA,M,Serious injury to leg,N,diving,26
58,30-Nov-2017,2017,COSTA RICA,F,FATAL,Y,diving,49
59,Reported 25-Nov-2017,2017,LIBYA,0,FATAL,Y,0,0
60,24-Nov-2017,2017,USA,M,Right leg bitten,N,spearfishing,25
61,18-Nov-2017,2017,USA,F,Heel bitten,N,surfing,14
62,Reported 13-Nov-2017,2017,0,M,Puncture wounds to feet,N,surfing,24
63,13-Nov-2017,2017,AUSTRALIA,M,Puncture wounds to left shoulder,N,surfing,25
64,04-Nov-2017,2017,CUBA,M,FATAL,Y,bathing,22
65,Reported 31-Oct-2017,2017,AUSTRALIA,M,Calf injured,N,snorkeling,0
66,28-Oct-2017,2017,AUSTRALIA,M,Minor injury to foot,N,surfing,31
67,26-Oct-2017,2017,USA,M,No injury but shark bit SUP,N,paddleboarding,0
68,23-Oct-2017,2017,MAURITIUS,M,Minor injury to foot,N,swimming,0
69,23-Oct-2017,2017,USA,M,Lacerations to left foot,N,surfing,17
70,23-Oct-2017,2017,USA,F,Severe lacerations to left hand & wrist,N,swimming,60
71,22-Oct-2017,2017,AUSTRALIA,F,Minor injuries,N,kayaking,15
72,21-Oct-2017,2017,NEW ZEALAND,M,"No injury, shark shook kayak x3 ",N,kayaking,0
73,18-Oct-2017,2017,USA,M,Puncture wounds & lacerations to foot,N,swimming,0
74,09-Oct-2017,2017,USA,M,Lacerations to left hand,N,surfing,54
75,05-Oct-2017,2017,USA,F,Abrasions,N,snorkeling,40
76,01-Oct-2017,2017,SOUTH AFRICA,M,FATAL,0,diving,31
77,25-Sep-2017,2017,USA,M,Lacerations to lower left leg and foot,N,surfing,0
78,25-Sep-2017,2017,AUSTRALIA,M,"No injury, board damaged by shark",N,surfing,0
79,24-Sep-2017,2017,USA,M,"Lacerations to right ankle, foot & toe",0,surfing,33
80,24-Sep-2017,2017,USA,M,Laceration to upper arm,N,surfing,0
81,20-Sep-2017,2017,USA,M,Minor lacerations to sole of left foot,N,surfing,0
